customer_id,total_order_value
C035,1299
C015,999.99
C013,999.5
C018,990
C038,955.4
C041,935.9
C045,890.9
C024,875.4
C019,875
C017,870.5
C049,865
C048,860.3
C034,810.2
C005,799.5
C036,790
C014,750.6
C044,740.6
C027,720.3
C026,715.4
C007,680.4
C037,675.75
C006,660.2
C008,650.1
C032,620.75
C029,605.75
C047,590.2
C046,570.4
C012,560.2
C011,545.25
C009,540.1
C025,520.8
C002,475
C001,450.75
C033,445.9
C039,410.5
C030,400.6
C003,395.75
C028,350.25
C022,340.25
C023,330.6
C042,325.1
C050,310.75
C010,299
C043,280.6
C031,280.25
C004,270.75
C021,260.75
C020,230
C016,225.75
C040,215.5
